	anger	contempt	disgust	fear	happiness	neutral	sadness	surprise
89709911	0.00477151154	0.0027857658	0.0007758992	4.5892426e-05	0.00634216052	0.9788331	0.0061426023	0.0003030761
brh2003000257/PP	0.00120286667	0.0002765219	1.16365554e-05	2.55478026e-05	6.7955e-05	0.9973395	0.000952615461	0.0001233575
brh2003000772/PP	0.00259844656	0.007916101	0.00022291654	6.48939458e-05	0.00268427632	0.982253432	0.00393576548	0.000324177148
brh2003001921/PP	0.0240908079	0.00456283567	0.008557619	2.223269e-05	0.292166054	0.664690733	0.005809357	0.000100371893
det1994022895/PP	0.0006802088	0.000302311557	2.3682167e-05	5.83360725e-06	8.192948e-05	0.9978424	0.000882681634	0.0001809946
2004663586	4.36156733e-06	0.000402689126	9.16052954e-07	1.20094521e-08	0.56169	0.437855721	4.589327e-05	4.115278e-07
2004663580	5.024718e-07	0.0151078543	1.915298e-06	1.32930522e-09	0.8152852	0.169592589	9.149112e-06	2.787885e-06
2004663581	0.0002780938	0.008539616	1.69041414e-05	1.44545339e-07	0.028833108	0.9622533	4.31840235e-05	3.56652527e-05
2004663582	8.498838e-06	0.0159481168	9.196467e-06	2.548324e-08	0.813125968	0.170829386	7.552181e-05	3.29104978e-06
2004663583	3.62006322e-05	0.00131120393	5.530705e-06	4.37994423e-08	0.0129920039	0.9853181	0.0003311274	5.79018433e-06
brh2003004804/PP	0.000213413	0.0005354274	5.235118e-06	1.56634783e-07	1.17776672e-05	0.9975756	0.0016505511	7.855201e-06
hec2009003230	0.00149497518	0.0226587653	0.000260428962	5.736509e-06	0.329235852	0.645553768	0.000741325843	4.91677e-05
hec2009003231	0.0102657136	0.0803739354	0.003263481	0.000107148167	0.07177817	0.827635944	0.005668698	0.000906911155
hec2009003232	0.0263426453	0.0136233252	0.005212465	8.318286e-05	0.0155448588	0.9322438	0.006454619	0.00049508753
hec2009003233	0.0212807339	0.0232423935	0.00138234848	0.000426350569	0.0009787634	0.9480726	0.003793066	0.0008237221
hec2009003234	0.000702027057	0.00317240437	0.000223595649	0.000192850421	0.0131980088	0.9713577	0.009948992	0.00120443152
hec2009003235	0.0009760534	0.006676224	5.94894664e-05	2.28104068e-06	0.006787053	0.9841578	0.00130763429	3.34754332e-05
hec2009003237	0.0276760235	0.0236206446	0.0071465536	0.000249256962	0.05234495	0.8788966	0.009184122	0.0008818561
hec2009003238	0.04365247	0.00659954362	0.00442599	0.000214960572	0.0005781694	0.9270751	0.0163979884	0.00105580711
hec2009003239	0.117375605	0.011203439	0.00360183953	8.930499e-05	0.000106799715	0.8226825	0.0446467921	0.000293719815
hec2009006608	0.0010730942	0.00764183	7.249788e-05	1.05396214e-06	0.0269700345	0.963957369	0.000229460609	5.464261e-05
hec2009006609	0.000920897233	0.008701299	0.000316464866	1.23944019e-05	0.129278272	0.8595081	0.000907280832	0.000355313241
agc1996016302/PP	0.00223878538	0.0945768058	0.000191124447	1.58325371e-08	0.06887975	0.8340728	3.51325034e-05	5.56136774e-06
hec2009008518	0.0023292047	0.00516715739	0.00136778748	8.437916e-05	0.004638985	0.974073768	0.007827738	0.004510977
hec2009008514	0.00154137786	0.002904252	0.0001214064	1.07151964e-05	0.0267493948	0.967664063	0.0006899045	0.000318864273
hec2009008516	6.92422e-05	0.00131810352	4.063891e-05	3.00566116e-05	0.00114791526	0.985746861	0.0113084139	0.000338761776
hec2009008510	0.00435681	0.0008273321	0.000121015328	9.220789e-05	4.39588657e-05	0.992617249	0.000870478165	0.00107093924
hec2009008512	1.37178695e-05	0.000378227764	2.37235531e-06	2.06502371e-08	0.00752356835	0.992042363	3.03032248e-05	9.416948e-06
hec2009008513	3.79914163e-05	0.0007032996	2.06799655e-06	2.35217669e-07	0.00381968636	0.9953606	5.500521e-05	2.11231982e-05
2010650303	0.0009855162	0.0002413007	0.0006466268	0.03326268	6.42609348e-06	0.751776457	0.004279622	0.208801389
2010650302	0.000286047842	0.00596666662	1.57757659e-05	4.00364952e-05	0.000343736348	0.985514641	0.007661439	0.000171677733
2010650301	0.112681247	0.0210254937	0.0004960824	0.000104463412	5.793287e-05	0.863496244	0.00163811445	0.000500434
2010650300	0.00225796434	0.00166878442	6.334158e-05	0.000300838874	2.43361446e-05	0.957658768	0.0378842279	0.000141753218
2010650307	0.0019827222	0.000279246626	4.44726429e-05	0.003691285	6.709116e-06	0.983458757	0.00770648662	0.00283029815
hec2009002944	0.0263152253	0.00287105143	0.000663109	3.25365136e-06	5.7485322e-05	0.968620539	0.0010600778	0.000409241649
2010650305	0.00054820237	0.0783012062	1.49744392e-05	1.16937952e-06	0.000141385812	0.9196835	0.0013023736	7.15370561e-06
2010650304	7.115866e-05	0.0001431996	1.32043363e-06	1.278559e-06	3.61121465e-07	0.9979114	0.00185694161	1.43710931e-05
2010650309	0.08308209	0.0381901227	0.00140511489	0.00169653026	0.000154616821	0.863033831	0.00895727053	0.003480407
2010650308	2.01149087e-05	0.000169174076	6.293509e-08	3.71591739e-07	2.45905127e-08	0.9996333	0.000166754078	1.02091108e-05
brh2003002771/PP	0.000345209381	0.00624575373	0.000130517379	1.39346426e-07	9.111894e-05	0.992647469	0.0005197243	2.00450959e-05
agc1996016444/PP	0.000243825329	0.000272652454	0.000219678259	5.144701e-07	0.003962776	0.993537843	0.00171244028	5.02564471e-05
2004662983	1.11707137e-10	4.249355e-08	8.249732e-09	1.31179e-11	0.999997735	2.16974786e-06	5.445628e-10	3.86757648e-08
2004662982	0.000602718559	0.000263409718	0.000216156055	7.57145062e-06	0.000106793974	0.984898746	0.0137698725	0.000134727059
2004662980	0.00339409313	0.00284457114	0.00634884275	0.00053481	0.5235691	0.449906379	0.01119196	0.00221025152
2004662984	1.94340669e-06	2.12597072e-07	2.7685835e-06	3.80016081e-06	0.9997708	9.115352e-05	5.436385e-05	7.49348037e-05
